English	Spanish	Spanish verb
the fans cheer on their team	los fans vitorean a su equipo	vitorear a
chocolate always cheers the child up	el chocolate alegra al niño siempre	alegrar a
the man’s jokes cheered me up	los bromas del hombre me animaron	animar a
the son's visit cheered the man up	la visita del hijo alegró al hombre	alegrar 
at the debate the woman chipped in	en el debate la mujer intervino	intervenir
the man chipped in to the conversation	el hombre interrumpió la conversación	interrumpir
the friends chipped in to the holiday fund	los amigos pusieron dinero para el bote de las vacaciones, los amigos contibuyeron dinero para el bote de las vacaciones	poner dinero para, contribuir a
the children will chip in five dollars	los niños pondrán cinco dólares, los niños aportarán cinco dólares, los niños contribuirán con cinco dólares, 	poner, aportar, contribuir con
the woodcutter chopped down the tree	el leñador cortó el árbol, el lenador taló el árbol	cortar, talar
the chef chopped up the vegetables	el cocinero picó las verduras, el cocinero troceó las verduras	picar, trocear
the workers cleaned out a storage room	los trabajadores limpiaron una sala de almacenamiento, los trabajadores ordenaron una sala de almacenamiento	limpiar, ordenar
the programmer cleaned out the bug	el programador dio cuenta del bug	dar cuenta de
his ex-girlfriend cleaned the man out	su exnovia dejó sin nada al hombre	dejar sin nada a
the man cleaned out the garage	el hombre limpió el garaje	limpiar
the girl cleaned out the wardrobe	la chica vació el armario 	vaciar
the politician cleaned up his image	el político limpió su imagen	limpiar
the government is going to clean up the system	el gobierno va a reformar el sistema	reformar
the woman cleared away the books	la mujer organizó los libros	organizar
the boys cleared off at five o´clock	los chicos se marcharon a las cinco, los chicos se fueron a las cinco	marchar se, ir se
the housekeeper cleared out the cupboard	el ama de llaves vació el armario	vaciar
the teacher cleared up the mess	el profesor limpió el desorden	limpiar
the teacher’s answer cleared up the problem	la respuesta del profesor explicó el problema	explicar
that message cleared up doubts	ese mensaje aclaró las dudas, ese mensaje resolvió las dudas, ese mensaje despejó las dudas	aclarar, resolver, despejar
the employee climbed up the corporate ladder quickly	el empleado ascendió el escalafón profesional rápido	ascender
the lion climbed up a tall tree	el león escaló un árbol alto, el león se subió a un árbol alto, el león trepó a un árbol alto	escalar, subir se a, trepar a
the prosecutor closed down the newspaper	el fiscal cerró el periódico	cerrar
the manager closed down that part of the company	el director clausuró esa parte de la empresa	clausurar
the man’s  death came about in 1981	la muerte del hombre sucedió en 1981, la muerte del hombre ocurrió en 1981, la muerte del hombre aconteció en 1981	suceder, ocurrir, acontecer
the yacht came about	el yate viró	virar
the researcher came across an interesting study	el investigador se topó con un interesante estudio, el investigador se encontró con un interesante estudio	topar se con, encontrar se con
the woman came across the man in the street	la mujer se cruzó con el hombre en la calle	cruzar se con
the man came across as rude	el hombre dio la impresión de ser maleducado, el hombre pareció maleducado	dar la impresión de ser, parecer
the woman came across as nice  (delete)	la mujer pareció simpática	parecer
the man came across with the information	el hombre soltó la información	soltar
the police came after the thieves 	la policía persiguió a los ladrones, la policía iba detrás de los ladrones	perseguir a, ir detrás de
the Spanish contribution came after the war of 1812	la contribución española siguió a la guerra de 1812, la contribución española llegó después de la guerra de 1812, la contribución española se produjo después de la guerra de 1812, la contribución española vino después de la guerra de 1812	seguir a, llegar después de, producir se después de, venir después de
our projects are coming along very well	nuestros proyectos están progresando muy bien, nuestros proyectos están avanzando muy bien	progresar, avanzar
his brother came along	llegó su hermano, vino su hermano	llegar , venir
the boss came along 	el jefe apareció	aparecer
the man came along to the party	el hombre se presentó en la fiesta, el hombre vino a la fiesta, el hombre llegó a la fiesta	presentar se, venir, llegar
the man came along with the family	el hombre acompañó a la familia	acompañar a
the teacher came along to the party  borrar	el profesor vino a la fiesta	venir
the jumper came apart at the seams	el jersey se deshizo por las costuras	deshacer se
the machine came apart	la máquina se desarmó	desarmar se
the engine came apart from the machine	se desprendió el motor de la maquina	desprender se
spring came around late this year	la primavera volvió tarde este año, la primavera llegó tarde este año	volver, llegar
my father came around to my opinion	mi padre se dejó convencer por mi opinión	dejar se convencer
the boy came around to the majority’s opinion soon	el chico se puso de acuerdo con la opinión de la mayoría pronto	poner se de acuerdo
I came around to your house	me dejé caer por tu casa, vine a tu casa	dejar se caer por, venir
the girl came around to my house	la chica vino a mi casa borrar	venir
the teacher came back yesterday	la profesora volvió ayer, la profesora regresó ayer	volver, regresar
the team came back last week, delete	el equipo regresó la semana pasada	regresar
the patient came down three kilos last week	el paciente bajó tres kilos la semana pasada	bajar  
the old man came down the stairs	el anciano descendió las escaleras, el anciano bajó las esclaeras	descender, bajar 
the building came down in the floods 	el edificio se vino abajo en las inundaciones	venir se abajo
the wall came down in the earthquake	la muralla se desmoronó con el terremoto	desmoronar se
the abandoned house came down	la casa abandonada se derrumbó	derrumbar se
the tree came down on the car	el árbol cayó encima del coche	caer encima de
the argument came down to logic	la discusión dependió de la lógica	depender de
their son came down with polio	su hijo cogió la polio, su hijo contrajo la polio, su hijo se enfermó de polio	coger, contraer, enfermar se de
the candidate came forward for the campaign	el candidato se presentó para la campaña	presentar se
the boy came forward as a volunteer	el chico se ofreció voluntario	ofrecer se
the witness came forward to the police	el testigo se puso a disposición de la policía	poner se a disposición de
the man’s fortune comes from illegal activities	la fortuna del hombre procede de actividades ilícitas, la fortuna del hombre proviene de actividades ilícitas	proceder de, provenir de
the aroma comes from the kitchen	el aroma proviene de la cocina 	provenir de
the teacher comes from England	el profesor viene de Inglaterra 	venir de
the boss came in yesterday	el jefe entró ayer	entrar  
the athlete came in second in the marathon	la atleta llegó segunda en el maratón	llegar  
the man comes into the second part of the plan	el hombre se mete en la segunda parte del plan	meter se
the woman came into a large inheritance 	la mujer accedió a una gran herencia	acceder a
the man came into the restaurant	el hombre entró en el restaurante	entrar en
leather sandals came into fashion this summer	las sandalias de piel se pusieron de moda este verano	poner se de  
the Internet came into being in the eighties	la red nació en los años ochenta	nacer
the invention came of his original idea	la invención resultó de su idea original, la invención surgió de su idea original	resultar de, surgir de
the man came of age during the Second World War	el hombre llegó a mayoría de edad durante la segunda guerra mundial	llegar a la mayoría de edad
the party came off without problems	la fiesta sucedió sin incidencias, la fiesta tuvo lugar sin incidencias	suceder, tener lugar
the addict came off heroin two months ago	el drogadicto se quitó de la heroína hace dos meses	quitar se de
the sticker came off the book	la pegatina se separó del libro	separar se de
the woman came onto the handsome man	la mujer coqueteó con el hombre guapo, la mujer ligó con el hombre guapo	coquetear con, ligar con
the speaker will come on to that topic in a moment	el orador pasará a este tema enseguida	pasar a
the student came out last night	el estudiante salió anoche	salir de
the woman came out quickly	la mujer apareció rápido, la mujer salió rápido	aparecer, salir
the man came out yesterday	el hombre se declaró ayer	declarar se
a cook book will come out soon	un libro de cocina se publicará pronto	publicar se
women came out at the debutante ball in the past	las mujeres se presentaron en el baile de debutantes	presentar se
the band’s new CD came out yesterday	el CD nuevo del grupo se estrenó ayer	estrenar se
the information came out in court	la información se divulgó en el tribunal	divulgar se
the news came out suddenly	las noticias se filtraron de repente	filtrar se
the athlete came out of his retirement	el atleta salió de su retiro	salir de
the cost of the breakages came out of the deposit	el costo de los daños se descontó de la fianza	descontar se
this noise comes out of the filter	este ruido sale del filtro, este ruido proviene del filtro	salir de, provenir de
the results came out of the study	los resultados surgieron del estudio	surgir de
the woman came over yesterday	la mujer se vino ayer, la mujer vino ayer	venir se , venir
the students came over at lunchtime	los estudiantes se pasaron a la hora de comer, los estudiantes vinieron a la hora de comer	pasar se, venir
the English came over two hundred years ago	los ingleses invadieron hace doscientos años	invadir
fear came through his whole body	el miedo se notó en su cuerpo entero, el miedo se manifestó en su cuerpo entero	notar se, manifestar se
the girl will come through this terrible experience	la chica superará esta experiencia terrible 	superar
the man came through a traumatic childhood	el hombre superó una niñez traumática 	superar
the man came to yesterday	el hombre volvió en sí ayer	volver en sí
the news came to the boy in a letter	las noticias llegaron al chico en una carta	llegar a    
the results came to the students 	las notas llegaron a los estudiantes	llegar a    
the controversial questions came up in the debate	las preguntas polémicas salieron en el debate, las preguntas polémicas surgieron en el debate	salir, surgir 
a new issue will come up , delete	un nuevo problema surgirá,aparecerá, saldrá	surgir
the sun came up early today	el sol se levantó temprano hoy, el sol salió temprano hoy	levantar se, salir
something came up suddenly	algo pasó de repente, algo ocurrió de repente, algo sucedió de repente	pasar, ocurrir, suceder  
the employee came up the boss’s office	el empleado subió al despacho del jefe	subir a
the moon came up over the sea	la luna se elevó sobre el mar	elevar se
the man came up to the student in school	el hombre se acercó al estudiante en el colegio	acercar se a
the company came up with a bold plan	la empresa elaboró un plan audaz	elaborar
the politician came up against strong opposition	el político se topó con una fuerte oposición, el político se tropezó con una fuerte oposición	topar se con, tropezar se con
the boxer came up against his opponent	el boxeador compitió contra su rival, el boxeador compitió con su rival 	competir contra, competir con
the president came up with a new strategy	el presidente se inventó una estrategia nueva	inventar se
the teacher came up with enough money to pay for the books	el profesor consiguió dinero suficiente para pagar los libros	conseguir
the company covered up deficiency	la empresa tapó la deficiencia, la empresa escondió la deficiencia	tapar, esconder
the student covered up his notes before the exam	el estudiante cubrió sus apuntes antes del examen	cubrir
the criminal covered up the evidence	el criminal escondió las pruebas	esconder
the corruption scandal was covered up	el escándalo de la corrupción se tapó	tapar se
the books were covered up with new covers	se cubrieron los libros con sobrecubiertas nuevas	cubrir se
students count on their teachers everyday	los estudiantes cuentan con sus profesores todos los días 	contar con
many people count on modern medicine 	mucha gente confía en la medicina moderna, mucha gente se fia de la medicina moderna	confiar en, fiar se de
the police cracked down on drink driving	la policía tomó medidas contra la conducción bajo los efectos del alcohol	tomar medidas contra
the government cracked down on the insurgents	el gobierno acabó con los insurgentes, el gobierno castigó a los insurgentes	acabar con, castigar a
the man crossed the name off the list	el hombre tachó el nombre de la lista	tachar a
the interviewer crossed the unsuitable candidate off	el entrevistador eliminó al candidato inadecuado	eliminar a
the boy crossed out the number	el muchacho tachó el número	tachar a
the child cried out	el niño gritó, el niño chilló	gritar, chillar
the mother cried out for help	la madre pidió a gritos ayuda	pedir a gritos
the girl curled up on the couch	la niña se acurrucó en el sofá 	acurrucar se
the dog curled up in front of the door	el perro se enroscó delante de la puerta	enroscar se
the corners of the map curled up	las esquinas del mapa se enrollaron	enrollar se
the government cut back unemployment benefit	el gobierno recortó las prestaciones por desempleo, el gobierno redujo las prestaciones por desempleo	recortar, reducir
the president cut back immigration	el presidente restringió la inmigración	restringir
the family cut back on expenses	la familia recortó en los gastos	recortar en
the algorithm cut down the cost of computation	el algoritmo bajó el costo de computación, el algoritmo redujo el costo de computación	bajar, reducir
the woodcutter cut down the tree	el leñador cortó el árbol, el leñador taló el árbol	cortar, talar
enemy fire cut down the soldiers	el fuego enemigo derribó a los soldados, el fuego enemigo liquidó a los soldados, el fuego enemigo mató a los soldados	derribar a, liquidar a, matar a
the business cut down on operating expenses	la empresa redujo los gastos de operación, la empresa recortó en gastos de operación	reducir, recortar en
the driver cut in quickly	el conductor se adelantó rápido	adelantar se
the rude man cut in the queue	el hombre maleducado se coló	colar se
the woman cut in our conversation	la mujer se entrometió en nuestra conversación	entrometer se en
the man was cut in on the prize money	el dinero del premio se compartió con el hombre	compartir se con
the man cut off her hand	el hombre se amputó la mano, el hombre se cortó la mano	amputar se, cortar se
the father cut off his son	el padre repudió a su hijo, el padre se apartó de su hijo, el padre se distanció de su hijo	repudiar a, apartar se de, distanciar se de
the phone call was cut off	la llamada se cayó, la llamada se desconectó 	caer se, desconectar se
the woman cut the speaker off	la mujer interrumpió al orador	interrumpir a
the government cut out scholarships	el gobierno recortó las becas	recortar  
the director cut out the most violent scene	el director sacó la escena más violenta	sacar
the woman cut carbohydrates out of her diet	la mujer eliminó hidratos de carbono de su dieta, la mujer suprimió hidratos de carbono de su dieta	eliminar, suprimir
the children cut pictures out of magazines	los niños cortan las imágenes de las revistas	cortar
the man cut the stress out of his work	el hombre eliminó el estrés de su trabajo, el hombre quitó el estrés de su trabajo	eliminar, quitar
the television cut out last night	la televisión se cortó anoche	cortar se
the student cut out after the exam	el estudiante se piró después del examen	pirar se
the police cut up his passport	la policía troceó su pasaporte	trocear
the chef cut up an onion	el cocinero picó una cebolla	picar
the man is cut up after his brother’s death	el hombre está fatal después de la muerte de su hermano	estar fatal
the table dates back to the eighteenth century 	la mesa data del siglo dieciocho, la mesa es del siglo dieciocho	datar de, ser de
the church dates from 1596	la iglesia data de 1596	datar de  
the facts of the story dawned on the man	los hechos de la historia ocurrieron al hombre	ocurrir a
the firm deals in industrial lubricant	la compañía trata con lubricante industrial	tratar сon
the man dealt his friend into the poker game	el hombre incluyó a su amigo en el juego de poker, el hombre mitió a su amigo en el juego de poker	incluir a, meter en
the business deals in new technology	la empresa integra a la nueva tecnología	integrar a
the boss deals with the most demanding customers	el jefe lidia con los clientes más exigentes, el jefe se ocupa con los clientes más exigentes	lidiar con, ocupar se de 
the worker dealt with the customer’s problem	el empleado resolvió el problema del cliente	resolver  
the book deals with geography	el libro trata trata de geografía	tratar  de
several financial institutions deal with private funds	varias instituciones financieras tratan con fondos privados, varias instituciones financieras negocian con fondos privados, varias instituciones financieras se ocupan de fondos privados, varias instituciones financieras se encargan de fondos privados, varias instituciones financieras manejan fondos privados, varias instituciones financieras gestionan fondos privados	tratan con, negociar con, ocupar se de, encargar se de, manejar, gestionar
nurses deal with the drunk patients	las enfermeras se ocupan de los pacientes borrachos, las enfermeras soportan a los pacientes borrachos	ocupar se de, soportar a
the child dealt with traumatic experiences	el niño hizo frente a experiencias traumáticas, el niño se enfrentó con experiencias traumáticas	hacer frente a, enfrentar se con 
the producer decided on this location	el productor escogió esta localización, el productor eligió esta localización, el productor optó por esta localización	escoger, elegir, optar por
the man delighted in the singer’s voice	el hombre se deleitó con la voz del cantante	deleitar se con
the police officer delved into the case	el policía indagó en el caso	indagar en
the patient depends on the medication	el paciente confía en sus medicamentos	confiar en  
universities depend on investment	las universidades cuentan con la inversión	contar con
people depend on financial institutions	la gente depende de las instituciones financieras 	depender de
the bees died away in winter	las abejas murieron en el invierno	morir
the noise died down after the concert	el ruido disminuyó después del concierto	disminuir  
the scandal eventually died down	el escándalo se apagó eventualmente	apagar se  
their old ideas will die off soon	sus viejas ideas se extinguirán pronto, sus viejas ideas desaparecerán pronto, sus viejas ideas se desvanecerán pronto, sus viejas ideas se perderán pronto	extinguir se, desaparecer, desvanecer se, perder se
the hungry boy dug in	el chico hambriento atacó, el chico hambriento empezó a comer	atacar, empezar a comer
the soldiers dug in	los soldados se instalaron, los soldados se establecieron, los soldados se atrincheraron	instalar se, establecer se, atrincherar se
the soldiers dug into the hill	los soldados se instalaron en la colina, los soldados se establecieron en la colina, los soldados se atrincheraron en la colina	instalar se en, establecer se en, atrincherar se en
the stubborn man dug in 	el hombre terco no cedió	no ceder
the girl dug up a corpse	la chica desenterró un cadáver, la chica exhumó un cadáver	desenterrar, exhumar
the newspaper dug up all the information about the scandal	el periódico reveló todo sobre el escándalo, el periódico expuso todo sobre el escándalo, el periódico descubrió todo sobre el escándalo, 	revelar, exponer, descubrir
the woman dipped into a magazine	la mujer hojeó una revista	hojear
the man dipped into his savings	el hombre recurrió a sus ahorros	recurrir a  
the association dished out food	la asociación repartió alimentos, la asociación sirvió alimentos	repartir, servir
the army disposed of toxic substances	el ejército se deshizo de sustancias tóxicas, el ejército tiró sustancias tóxicas, el ejército deshechó sustancias tóxicas	deshacer se de, tirar, deshechar
the athlete disposed of the competition	el atleta acabó con los competidores, el atleta terminó con los competidores	acabar con, terminar con
the man divided up the food	el hombre dividió la comida, el hombre separó la comida	dividir, separar
my mother divided up the money	mi madre repartió el dinero	repartir
the worker did over the spreadsheet	el trabajador rehízo la hoja de cálculo	rehacer
the government did away with compulsory military service	el gobierno eliminó el servicio militar obligatorio	eliminar
socialism did away with private property	el socialismo acabó con la propiedad privada, el socialismo se deshizo de la propiedad privada, el socialismo se cargó la propiedad privada	acabar con, deshacer se de, cargar se
the man did in his neighbour	el hombre se cargó a su vecino	cargar se a
the marathon did the man in 	el maratón cansó al hombre, el maratón agotó al hombre	cansar a, agotar a 
the race did in the man’s knee	la carrera lastimó la rodilla del hombre	lastimar
my son did up the room	mi hijo redecoró la habitación, mi hijo remodeló la habitación, mi hijo renovó la habitación, mi hijo reacondicionó la habitación	redecorar, remodelar, renovar, reacondicionar
the woman did up her coat	la mujer abrochó su abrigo, la mujer abotonó su abrigo	abrochar, abotonar 
the constitution did without reference to religion	la constitución obvió referencias a la religión	obviar
the man did without a new car	el hombre prescindió de un coche nuevo	prescindir de
the school did without the latest technology	el colegio vivió sin la última tecnología 	vivir sin
the student nodded off during the boring class	el estudiante cabeceó durante la clase aburrida, el estudiante se quedó dormido durante la clase aburrida	cabecear, quedar se dormido
the class dragged on 	la clase siguió machaconamente	seguir machaconamente
the teacher drew on his knowledge	el profesor recurrió a sus conocimientos, el profesor usó sus conocimientos, el profesor utilizó sus conocimientos	recurrir a, usar, utilizar
the film drew on his childhood	la película se basó en su infancia, la película se inspiró en su infancia	basar se en, inspirar se en
the man quickly drew on his trousers	el hombre se puso sus pantalones rápido	poner se  
the man quickly drew on his clothes	el hombre se vistió rápido	vestir se
the players drew out the football match	los jugadores prolongaron el partido de fútbol	prolongar
the student drew out his studies for years	el estudiante siguió sus estudios durante años, el estudiante continuó sus estudios durante años	seguir, continuar
detectives draw out criminals’ secrets	los detectives sonsacan los secretos de los criminales	sonsacar
the researcher drew up an article	el investigador redactó un artículo	redactar
the manager drew up a new project	el gerente elaboró un nuevo proyecto	elaborar
the teacher drew up a seat 	el profesor trajó una silla, el profesor acercó una silla, el profesor se acercó una silla, el profesor aproximó una silla	traer, acercar, acercar se, aproximar se
the man drew up a seat to the table	el hombre acercó una silla a la mesa, el hombre aproximó una silla a la mesa	acercar, aproximar
the woman drew up water from the well	la mujer sacó agua del pozo	sacar  
the car drew up  	el coche llegó  	llegar  
the car drew up to the house, delete	el coche llegó a la casa	llegar  
the student drew upon his own experience	el estudiante recurrió a su experiencia propia	recurrir a  
the child dreams of a lot	el niño sueña mucho, el niño fantasea mucho, el niño imagina mucho	soñar, fantasear,  imaginar
the man dreamt of his family	el hombre soñó con su familia, el hombre fantaseó con su familia	soñar con, fantasear con
the engineer dreams up wonderful inventions	el ingeniero imagina invenciones fantásticas, el ingeniero inventa invenciones fantásticas	imaginar, inventar
the boy dreamed up the story	el muchacho fabuló la historia, el muchacho se imaginó la historia, el muchacho se inventó la historia	fabular, imaginar se, inventar se
the woman dressed up for the party	la mujer se emperifolló para la fiesta, la mujer se puso elegante para la fiesta	emperifollar se, poner se elegante
the child dressed up	el niño se disfrazó 	disfrazar se
the parents dressed up their child	los padres disfrazaron a su hijo	disfrazar a
the father dressed his daughter up	el padre vistió elegante a su hija, el padre puso elegante a su hija	vestir elegante, poner elegante
the man drove away	el hombre se alejó conduciendo	alejar se conduciendo
this spray drives away insects	este espray aleja los insectos, este espray repele los insectos, este espray ahuyenta los insectos, este espray espanta los insectos	alejar, repeler, ahuyentar, espantar 
the thief drove off	el ladrón se alejó en coche, el ladrón se fue, el ladrón se marchó	alejar se en coche, ir se, marchar se
the police drove of the protesters	la policía ahuyentó a los manifestantes, la policía espantó a los manifestantes	ahuyentar a, espantar a
the wind drove off the storms	el viento echó las tormentas, el viento expulsó las tormentas	echar, expulsar
the student dropped back a year	el estudiante se quedó un curso atrás	quedar se atrás
my neighbour dropped by yesterday	mi vecino pasó ayer, mi vecino se pasó ayer, mi vecino se dejó caer ayer	pasar, pasar se, dejar se caer
the customer dropped in 	el cliente se dejó caer, el cliente pasó	dejar se caer, pasar
the woman dropped in on her neighbour yesterday	la mujer visitó a su vecino ayer	visitar a
the woman dropped in on the new hotel	la mujer visitó el nuevo hotel	visitar  
income dropped off substantially	los ingresos decrecieron considerablemente, los ingresos cayeron considerablemente	decretar, caer
the tired man dropped off 	el hombre cansado dio una cabezada	dar una cabezada
the priest drove away the demon	el cura alejó al demonio, el cura repelió al demonio, el cura ahuyentó al demonio, el cura espantó al demonio	alejar a, repeler a, ahuyentar a, espantar a
their aid drove out the invaders	su ayuda expulsó a los invasores, su ayuda echó a los invasores	expulsar a, echar a
the river drops off a plateau	el río lleva a una meseta	llevar a
the student dropped out of university	el estudiante dejó la universidad, el estudiante abandonó la universidad	dejar, abandonar
my neighbour dropped over yesterday	mi vecino se pasó ayer, mi vecino se dejó caer ayer	pasar se, dejar se caer
his management is drumming up sales	su gestión está fomentando las ventas, su gestión está aumentando las ventas	fomentar, aumentar
the politician is drumming up controversy	el político está suscitando una polémica, el político está causando una polémica	suscitar, causar
the lake dried up	el lago se secó	secar se
the water supply dried up	el suministro de agua se agotó, el suministro de agua se consumió	agotar se, consumir se
the surprised student dried up	el estudiante sorprendido se calló	callar se
the teacher dumbed down the subject	el profesor simplificó la asignatura	simplificar
the man dwelled on his failed relationship	el hombre pensó obsesivamente en su relación fracasada	pensar obsesivamente en
the girl was dying for lunch	la chica se moría por comer	morir se por
the teacher eased off his students a little	el profesor aflojó un poco con sus estudiantes, el profesor se moderó un poco con sus estudiantes, el profesor alivió un poco a sus estudiantes, 	aflojar con, moderar se con, aliviar a
the boss eased on on his employees	el jefe trató mejor a sus empleados	tratar mejor a
regional unemployment fell away last year	la tuberculosis está carcomiendo sus huesos, la tuberculosis está minando sus huesos, la tuberculosis está royendo sus huesos, la tuberculosis está corroyendo sus huesos, la tuberculosis está desgastando sus huesos	carcomer, minar, roer, corroer, desgastar
water ate away the stone in the caves	el agua erosionó la piedra de las cuevas	erosionar
the family ate in last night	la familia cenó en casa anoche	cenar en casa
heat ate up your fat reserve	el calor consumió tu reserva de grasa	consumir
the unemployed man ate into his savings	el hombre desempleado se comió sus ahorros	comer se
the students ate out last night	los estudiantes cenaron fuera anoche, los estudiantes salieron a cenar anoche, los estudiantes comieron fuera anoche, los estudiantes salieron a comer anoche	cenar fuera, salir a cenar, comer fuera, salir a comer
the old car eats up petrol	el coche viejo chupa gasolina, el coche viejo devora gasolina, el coche viejo traga gasolina	chupar, devorar, tragar
the hungry boy ate up his dinner	el chico hambriento se comió la cena, el chico hambriento acabó la cena, el chico hambriento disfrutó la cena, 	comer se, acabar, disfrutar
the boy egged on his team	el chico animó a su equipo	animar a
the crew embarked on Friday   phrasal verb?	la tripulación embarcó el viernes, la tripulación se embarcó el viernes	embarcar, embarcar se
the scientists embarked on a new project	los científicos se embarcaron en un nuevo proyecto, los científicos se lanzaron a un nuevo proyecto	embarcar se en, lanzar se a
the man embarked on a new challenge	el hombre se aventuró en un nuevo reto	aventurar se
the woman emptied out the drawer 	la mujer vació el cajón	vaciar
the park emptied out at nightfall	el parque se vació al anochecer	vaciar se
the drunk man emptied out the wine bottle	el borracho se terminó la botella de vino, el borracho acabó la botella de vino, el borracho vació la botella de vino	terminar se, acabar, vaciar
the argument ended in violence  borrar	la discusión desembocó en violencia	desembocarrminar en 
the concert ended off the weekend’s activities	el concierto puso fin a las actividades del fin de semana	poner fin a
the backpacker ended up in India	el mochilero acabó en la India, el mochilero terminó en la India, el mochilero llegó a la India, 	acabar en, terminar en, llegar a
the athletes ended up exhausted	los atletas terminaron agotados, los atletas acabaron agotados	terminar, acabar  
the man ended up with his ex-wife	el hombre terminó con su exesposa	terminar con
the woman ended up with first prize	la mujer se quedó con el primer premio	quedar se con
the man engaged in DIY	el hombre se dedicó al bricolaje, el hombre hizo bricolaje	dedicar se a, hacer
the woman entered into charity work	la mujer se involucró en trabajo social, la mujer participó en trabajo social	involucrar se en, participar en
French citizenship entitles people to vote	la ciudadanía francesa autoriza a la gente a votar, la ciudadanía francesa da derecho a la gente a votar	autorizar a, dar derecho a
the two tests evened up the standard	las dos pruebas igualaron el nivel, las dos pruebas nivelaron el nivel	igualar, nivelar
the football team’s results evened up	se igualaron los resultados del equipo del fútbol, se nivelaron los resultados del equipo del fútbol, 	igualar se, nivelar se
the violator faced up to two years of prison	el infractor se enfrentó a dos años de prisión, el infractor hizo frente a dos años de prisión	enfrentar se a, hacer frente a, enfrentar a
the man faced up to his past	el hombre afrontó su pasado, el hombre se enfrentó a su pasado	afrontar, enfrentar a
the price of the hotel factors in breakfast	la tarifa del hotel incluye el desayuno	incluir  
this disagreement factored in his decision	este desacuerdo tuvo en cuenta su decisión, este desacuerdo consideró su decisión	tener en cuenta, considerar
daylight faded away	la luz del día se difuminó, la luz del día se atenuó, la luz del día palideció, la luz del día se disipó, la luz del día se desvaneció, la luz del día se esfumó, la luz del día desapareció, la luz del día se perdió, la luz del día se desdibujó, 	difuminar se,atenuar se, palidecer, disipar se, desvanecer se, esfumar se, desaparecer, perder se, desdibujar se
the students fell about laughing	los estudiantes se partieron de risa, los estudiantes se murieron de risa	partir se de risa, morir se de risa
cheap shoes fall apart quicky	los zapatos baratos se desarman rápidamente, los zapatos baratos se deshacen rápidamente, los zapatos baratos se rompen rápidamente, los zapatos baratos se quiebran rápidamente	desarmar se, deshacer se, romper se, quebrar se 
the victim fell apart	la víctima se derrumbó, la víctima se desmoronó	derrumbar se, desmoronar se
regional unemployment fell away last year	el desempleo regional disminuyó el año pasado, el desempleo regional decreció el año pasado, el desempleo regional menguó el año pasado, el desempleo regional decayó el año pasado, 	disminuir, decrecer, menguar, decaer
the man’s worries fell away	las preocupaciones del hombre se disiparon, las preocupaciones del hombre desaparecieron 	disipar se, desaparecer
the students fell back on their teacher	los estudiantes se apoyaron en su profesor, los estudiantes recurrieron a su profesor	apoyar se en, recurrir a  
the boy fell back on his parents’ money	el chico echó mano del dinero de sus padres, el chico recurrió al dinero de sus padres	echar mano de, recurrir a 
the army fell back 	el ejercito se retiró, el ejercito retrocedió 	retirar se, retroceder
the slowest runners fell behind	los corredores más lentos se atrasaron, los corredores más lentos se retrasaron, los corredores más lentos se quedaron atrás, los corredores más lentos se rezagaron	atrasar se, retrasar se, quedar se atrás, rezagar se
the old man fell down	el anciano se cayó	caer se  
the building fell down	el edificio se derrumbó, el edificio cayó, el edificio se hundió, el edificio se vino abajo	colapsar, derrumbar se, caer, hundir se, venir se abajo
the government fell down	el gobierno falló, el gobierno fracasó	fallar, fracasar
the man fell for his co-worker	el hombre se coló por su compañera de trabajo, el hombre se murió por su compañera de trabajo	colar se por, morir se por
the boy fell for the joke	el chico se creyó la broma	creer se
the woman fell in love	la mujer se enamoró	enamorar se
the woman fell in love with her boyfriend	la mujer se enamoró de su novio	enamorar se de
the boy fell in with a bad crowd	el chico se juntó con gente mala	juntar se con
the students fell in with the teacher´s plan	los estudiantes aceptaron el plan del profesor	aceptar
the soldiers fell in line	los soldados formaron filas	formar
the old roof fell in	el techo viejo colapsó, el techo viejo se derrumbó, el techo viejo se cayó	colapsar, derrumbar se, caer se
the book falls into this category	el libro entra en esta categoría, el libro encaja en esta categoría, el libro cae en esta categoría	entrar en, encajar en, caer en
the dog fell into the hole 	el perro cayó en el agujero, el perro se cayó en el agujero	caer en, caer se en
my button fell off	mi botón cayó, mi botón se cayó, mi botón se desprendió, mi botón se despegó	caer, caer se, desprender se, despegar se,
the mirror fell off the wall	el espejo se cayó de la pared, el espejo se despegó de la pared	caer se de, despegar se de
the cushion fell off the couch	el cojín se deslizó del sofá	deslizar se de
the two men fell out	los dos hombres se pelearon, los dos hombres riñeron	pelear se, reñir
the soldiers fell out	los soldados rompieron filas	romper filas
the boy fell out of bed	el chico se cayó de la cama	caer se de  
your cousin fell over the stone	tu primo tropezó con la piedra	tropezar con
the liberal party’s plans fell through after the elections	los planes del partido liberal fracasaron después de las elecciones, los planes del partido liberal se vinieron abajo después de las elecciones, los planes del partido liberal quedaron en nada después de las elecciones, los planes del partido liberal cayeron después de las elecciones	fracasar, venir se abajo, quedar en nada, caer
my father felt for the victim	mi padre compadeció a la víctima, mi padre sintió lástima por la víctima	compadecer a, sentir lástima por
the man felt for the light switch	el hombre tanteó el interruptor 	tantear
the girl feels for her best friend	la chica quiere a su mejor amiga	querer a
